# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = lognormal_inf_model
# method = sample (Default)
#   sample
#     num_samples = 25000
#     num_warmup = 25000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = E:\Aerosols\aerosols\temp.data.R
# init = E:\Aerosols\aerosols\temp.init.R
# random
#   seed = 214200
# output
#   file = output-3.csv
#   diagnostic_file =  (Default)
#   refresh = 2500
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_mu,mu_sigma,sigma_alpha,sigma_beta,mu,sigma
# Adaptation terminated
# Step size = 1.80442e-07
# Diagonal elements of inverse mass matrix:
# 2.70197e-07, 2.70197e-07, 2.70197e-07, 2.70197e-07, 2.70197e-07, 0.00284293
1.57118e+09,0.899515,1.80442e-07,2,3,0,-1.57118e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254314
1.57118e+09,0.887423,1.80442e-07,3,7,0,-1.57118e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254314
1.57126e+09,0.762493,1.80442e-07,5,31,0,-1.57118e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254307
1.57126e+09,0.945089,1.80442e-07,2,3,0,-1.57126e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254306
1.57126e+09,0.664448,1.80442e-07,2,3,0,-1.57126e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254306
1.57127e+09,0.903385,1.80442e-07,3,7,0,-1.57126e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254306
1.57131e+09,0.187337,1.80442e-07,7,127,0,-1.57127e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254303
1.57132e+09,0.843736,1.80442e-07,4,15,0,-1.57131e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254302
1.57132e+09,1,1.80442e-07,2,3,0,-1.57132e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254302
1.57132e+09,0.380256,1.80442e-07,5,31,0,-1.57132e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254302
1.57139e+09,0.816132,1.80442e-07,5,31,0,-1.57132e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254295
1.57139e+09,0.948086,1.80442e-07,1,1,0,-1.57139e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254295
1.5714e+09,0.98491,1.80442e-07,3,7,0,-1.57139e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254295
1.5714e+09,0.746391,1.80442e-07,1,1,0,-1.5714e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254295
1.5714e+09,0.857993,1.80442e-07,4,15,0,-1.5714e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254294
1.5714e+09,1,1.80442e-07,1,1,0,-1.5714e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254294
1.5714e+09,1,1.80442e-07,1,1,0,-1.5714e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254294
1.5714e+09,0.865157,1.80442e-07,2,3,0,-1.5714e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254294
1.5714e+09,0.924176,1.80442e-07,2,3,0,-1.5714e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254294
1.5714e+09,0.971202,1.80442e-07,2,3,0,-1.5714e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254294
1.5714e+09,0.735629,1.80442e-07,2,3,0,-1.5714e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254294
1.57144e+09,0.109401,1.80442e-07,8,255,0,-1.5714e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254291
1.57144e+09,1,1.80442e-07,1,1,0,-1.57144e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.25429
1.57144e+09,0.56812,1.80442e-07,1,1,0,-1.57144e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.25429
1.57144e+09,1,1.80442e-07,2,3,0,-1.57144e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.25429
1.57144e+09,0.716353,1.80442e-07,1,1,0,-1.57144e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.25429
1.57145e+09,0.921468,1.80442e-07,3,7,0,-1.57144e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.25429
1.57145e+09,0.881703,1.80442e-07,2,3,0,-1.57145e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.25429
1.57145e+09,0.409044,1.80442e-07,6,63,0,-1.57145e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57145e+09,1,1.80442e-07,1,1,0,-1.57145e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57145e+09,0.915158,1.80442e-07,2,3,0,-1.57145e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57146e+09,0.774588,1.80442e-07,3,7,0,-1.57145e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57146e+09,0.82194,1.80442e-07,1,1,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57146e+09,0.837984,1.80442e-07,1,1,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57146e+09,1,1.80442e-07,1,1,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57146e+09,0.838863,1.80442e-07,2,3,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57146e+09,0.611226,1.80442e-07,3,7,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57146e+09,0.758585,1.80442e-07,3,7,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57146e+09,1,1.80442e-07,1,1,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57146e+09,0.369479,1.80442e-07,1,1,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57146e+09,0.559623,1.80442e-07,2,3,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57146e+09,0.807072,1.80442e-07,2,3,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57146e+09,1,1.80442e-07,1,1,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254289
1.57146e+09,0.654611,1.80442e-07,4,15,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254288
1.57146e+09,0.933285,1.80442e-07,2,3,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254288
1.57146e+09,0.872709,1.80442e-07,2,3,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254288
1.57146e+09,0.956912,1.80442e-07,2,3,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254288
1.57147e+09,0.823494,1.80442e-07,2,3,0,-1.57146e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254288
1.57147e+09,0.651095,1.80442e-07,3,7,0,-1.57147e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254288
1.57147e+09,0.974948,1.80442e-07,1,1,0,-1.57147e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254288
1.57148e+09,0.726889,1.80442e-07,4,15,0,-1.57147e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254287
1.57149e+09,0.795623,1.80442e-07,3,7,0,-1.57148e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254286
1.57149e+09,0.921733,1.80442e-07,4,15,0,-1.57149e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254286
1.57149e+09,0.974762,1.80442e-07,2,3,0,-1.57149e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254286
1.57149e+09,1,1.80442e-07,1,1,0,-1.57149e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254286
1.57149e+09,0.634375,1.80442e-07,2,3,0,-1.57149e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254286
1.57149e+09,0.810832,1.80442e-07,1,1,0,-1.57149e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254286
1.57149e+09,1,1.80442e-07,2,3,0,-1.57149e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254286
1.5715e+09,0.916903,1.80442e-07,4,15,0,-1.57149e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254286
1.5715e+09,0.68265,1.80442e-07,5,31,0,-1.5715e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254286
1.5715e+09,0.746632,1.80442e-07,3,7,0,-1.5715e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254285
1.5715e+09,1,1.80442e-07,1,1,0,-1.5715e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254285
1.5715e+09,0.991797,1.80442e-07,2,3,0,-1.5715e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254285
1.5715e+09,0.501116,1.80442e-07,3,7,0,-1.5715e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254285
1.5715e+09,1,1.80442e-07,1,1,0,-1.5715e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254285
1.5715e+09,1,1.80442e-07,1,1,0,-1.5715e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254285
1.5715e+09,0.579257,1.80442e-07,3,7,0,-1.5715e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254285
1.5715e+09,0.688755,1.80442e-07,2,3,0,-1.5715e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254285
1.5715e+09,0.821289,1.80442e-07,2,3,0,-1.5715e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254285
1.5715e+09,0.823677,1.80442e-07,3,7,0,-1.5715e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254285
1.57151e+09,0.74742,1.80442e-07,3,7,0,-1.5715e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254284
1.57151e+09,0.819524,1.80442e-07,3,7,0,-1.57151e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254284
1.57151e+09,1,1.80442e-07,1,1,0,-1.57151e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254284
1.57151e+09,0.950788,1.80442e-07,1,1,0,-1.57151e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254284
1.57151e+09,1,1.80442e-07,1,1,0,-1.57151e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254284
1.57154e+09,0.510626,1.80442e-07,5,31,0,-1.57151e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254281
1.57155e+09,0.946394,1.80442e-07,3,7,0,-1.57154e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254281
1.57155e+09,0.859018,1.80442e-07,1,1,0,-1.57155e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254281
1.57155e+09,0.757109,1.80442e-07,2,3,0,-1.57155e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254281
1.57156e+09,0.881153,1.80442e-07,5,31,0,-1.57155e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.25428
1.57156e+09,0.991162,1.80442e-07,3,7,0,-1.57156e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.25428
1.57156e+09,0.910984,1.80442e-07,2,3,0,-1.57156e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254279
1.57156e+09,0.646193,1.80442e-07,1,1,0,-1.57156e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254279
1.57156e+09,0.901703,1.80442e-07,1,1,0,-1.57156e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254279
1.57156e+09,1,1.80442e-07,2,3,0,-1.57156e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254279
1.57157e+09,0.896609,1.80442e-07,2,3,0,-1.57156e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254279
1.57157e+09,0.757627,1.80442e-07,2,3,0,-1.57157e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254279
1.57157e+09,1,1.80442e-07,1,1,0,-1.57157e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254279
1.57157e+09,0.675248,1.80442e-07,2,3,0,-1.57157e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254279
1.57157e+09,1,1.80442e-07,1,1,0,-1.57157e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254279
1.57159e+09,0.71322,1.80442e-07,5,31,0,-1.57157e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254277
1.57159e+09,1,1.80442e-07,1,1,0,-1.57159e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254277
1.57159e+09,0.727651,1.80442e-07,2,3,0,-1.57159e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254277
1.57159e+09,0.97009,1.80442e-07,2,3,0,-1.57159e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254277
1.5716e+09,1,1.80442e-07,2,3,0,-1.57159e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254277
1.5716e+09,1,1.80442e-07,1,1,0,-1.5716e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254277
1.5716e+09,0.629194,1.80442e-07,1,1,0,-1.5716e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254277
1.5716e+09,0.613904,1.80442e-07,2,3,0,-1.5716e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254277
1.5716e+09,1,1.80442e-07,1,1,0,-1.5716e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254277
1.5716e+09,0.981624,1.80442e-07,3,7,0,-1.5716e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254276
1.5716e+09,1,1.80442e-07,1,1,0,-1.5716e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254276
1.5716e+09,0.909661,1.80442e-07,2,3,0,-1.5716e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254276
1.5716e+09,0.57921,1.80442e-07,3,7,0,-1.5716e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254276
1.5716e+09,0.624398,1.80442e-07,2,3,0,-1.5716e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254276
1.57161e+09,1,1.80442e-07,1,1,0,-1.5716e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254276
1.57161e+09,0.904861,1.80442e-07,1,1,0,-1.57161e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254276
1.57161e+09,0.862165,1.80442e-07,2,3,0,-1.57161e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254276
1.57161e+09,1,1.80442e-07,1,1,0,-1.57161e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254276
1.57161e+09,0.986459,1.80442e-07,1,1,0,-1.57161e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254276
1.57161e+09,0.805683,1.80442e-07,1,1,0,-1.57161e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254276
1.57161e+09,0.975132,1.80442e-07,2,3,0,-1.57161e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254276
1.57161e+09,0.773697,1.80442e-07,2,3,0,-1.57161e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254276
1.57161e+09,1,1.80442e-07,3,7,0,-1.57161e+09,-0.289157,0.0100477,1.99918,2.24901,0.548983,0.254276
